timestamp,palm_orientation,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,thumb_ratio,index_ratio,middle_ratio,ring_ratio,pinky_ratio
1775462486,camera,169.918,174.211,175.434,178.216,172.815,3.5179,1.8830,1.9654,1.9303,1.7830
1775462533,camera,154.415,147.406,130.579,140.923,151.900,3.2250,1.4245,1.4156,1.3422,1.3956
1775462567,face,162.900,148.844,139.954,138.374,152.758,2.6729,1.6929,1.7795,1.8371,1.8353
1775462584,face,161.367,98.552,79.904,78.680,94.299,2.8362,1.2436,1.2730,1.3284,1.3877
1775465248,left,163.298,151.329,143.353,139.089,166.033,2.4362,1.5325,1.6323,1.7308,1.7500
1775465283,left,161.681,113.455,106.332,99.384,106.952,2.3367,1.2458,1.3086,1.3636,1.3698
1775465296,right,157.756,160.083,144.324,147.617,157.491,2.5598,1.9175,1.8623,1.7863,1.6868
1775465303,right,153.668,101.417,87.640,90.129,100.998,2.6059,1.1101,0.9999,0.9605,1.0308
1775465320,camera,169.932,125.702,114.973,103.301,107.561,3.8036,1.1085,1.0695,0.9138,0.9609
1775465325,camera,169.421,153.399,152.928,140.161,133.171,3.0103,0.9458,0.7165,0.5772,0.6130
1775465364,up,173.076,145.903,152.037,156.715,166.070,3.6111,2.1955,2.6474,2.6127,2.2068
1775465366,up,160.237,146.227,148.346,155.668,165.430,3.1780,1.8520,2.0268,2.1190,1.9045
